qid,name,pageviews_sum_global,langs_seen
Q63243883,Olivia Rodrigo,213033,en,es,ja
Q17712353,Nayib Bukele,212761,de,en,es,fr
Q8877,Steven Spielberg,211844,de,en,es,fr,ja
Q762,Léonard de Vinci,211169,de,en,es,fr,ja
Q44077,Jessica Alba,210675,de,en,es,fr
Q185654,Gal Gadot,210569,de,en,es,fr,ja
Q7322,Christopher Columbus,210136,de,en,es,fr
Q20830731,Isabela Merced,209563,de,en,es,fr
Q7542,Prince,209459,de,en,es,fr
Q186304,Kim Kardashian,209103,de,en,es,fr
Q310295,Dick Van Dyke,207843,de,en,es
Q23891,Andrew Garfield,206338,de,en,es,fr
Q1806261,Lars Klingbeil,206106,de
Q189490,Jennifer Lawrence,205764,de,en,es,fr,ja
Q294435,Thomas Cromwell,205634,en,es,fr
Q201994,Ali Larter,205629,de,en
Q30121972,Charlie Kirk,205449,en
Q862460,Bill Skarsgård,204946,de,en,es,fr
Q12963,François Bayrou,204461,fr
Q11642410,Nagiko Tōno,203735,ja
Q1426,Roger Federer,203602,de,en,es,fr,ja
Q24456716,Amanda Anisimova,203283,de,en,es,fr
Q5109030,Christa Pike,202670,de,en
Q324546,Marco Rubio,202078,de,en,es,fr
Q47493069,Ethan Slater,201520,en
Q168847,Brittany Murphy,201501,de,en,es,fr
Q88463514,Franco Colapinto,201265,de,en,es,fr,ja
Q600,Ichiro Suzuki,201225,ja
Q80069,Megan Fox,201185,de,en,es,fr
Q348066,Jack O'Connell,201002,en,es
Q720,Genghis Khan,200798,de,en,es,fr
Q180011,Brenda Song,200508,de,en,es,fr
Q62004095,Akash Deep,200346,en
Q218148,Zodiac Killer,200097,de,en,es,fr
Q36970,Jackie Chan,199713,de,en,es,fr,ja
Q6530585,Leslie Abramson,199410,en,fr
Q36215,Mark Zuckerberg,199223,de,en,es,fr
Q2718421,Joe Rogan,198939,de,en,fr
Q1058,Narendra Modi,198806,de,en,fr
Q33729164,Georgina Rodríguez,198371,de,en,es,fr
Q375590,Rami Malek,197735,de,en,es,fr
Q4440,Eric Bana,197529,de,en,es,fr
Q130242447,Emily Armstrong,197409,de,en,es,fr
Q265131,Lee Miller,196592,de,en,es,fr
Q14441,Liza Minnelli,195018,de,en,es
Q310637,Alexander Skarsgård,194666,de,en,es,fr
Q52395487,Javier Milei,194321,de,en,es,fr
Q34460,Gwyneth Paltrow,193954,de,en,es,fr
Q151304,Jack Antonoff,193849,en,es,fr
Q67701,Anna Kendrick,193187,de,en,fr
Q1430,Marcus Aurelius,192491,de,en,es,fr
Q19538831,Britt Lower,191811,en,fr
Q15876471,Ryūsei Yokohama,187492,ja
Q101199912,Yoshitaka Hara,187296,ja
Q228603,Saoirse Ronan,187190,de,en,es
Q577384,Hansi Flick,187138,de,en,es,fr
Q28973866,Vinícius Júnior,186986,de,en,es,fr
Q431248,Kirk Cousins,186825,de,en
Q11590855,Sōhei Kamiya,185889,ja
Q1134047,Masaki Suda,185812,ja
Q106481,Alan Rickman,185663,de,en,es,fr
Q205707,Bradley Cooper,185208,de,en,es,fr
Q7836292,Travis Kelce,184938,de,en,es
Q11550448,Mei Nagano,184050,ja
Q80046,Charlize Theron,184028,de,en,es,fr,ja
Q202765,Kate Winslet,183623,de,en,es,fr,ja
Q311280,Sidney Crosby,183604,en
Q121354576,Daiki Ōnosato,183576,ja
Q311314,Sam Elliott,183218,de,en,fr
Q1705028,Sanae Takaichi,182955,ja
Q99925317,Arch Manning,182876,en
Q409,Bob Marley,182278,de,en,es,fr,ja
Q3308007,Michael B. Jordan,182159,de,en,es,fr
Q111341142,Rin Mizushima,182146,ja
Q77193,Sahra Wagenknecht,181369,de
Q10514,Fernando Alonso,181146,de,en,es,fr,ja
Q4407963,Lauren Sánchez,181143,de,en,es,fr
Q44380,Cameron Diaz,180859,de,en,es,fr,ja
Q11617,Aaliyah,180616,de,en,es,fr
Q4235,Miley Cyrus,180424,de,en,es
Q39792,Jack Nicholson,180316,de,en,es,ja
Q13560902,Kimberly Guilfoyle,179642,en
Q234204,Linda Cardellini,179313,de,en,fr
Q12908,George Soros,178507,de,en,es,fr
Q234207,Natasha Lyonne,178496,en
Q231556,Alexandra Daddario,178255,de,en,fr
Q28288,Eddie Redmayne,177719,de,en,es,fr,ja
Q1255370,Kenjiro Tsuda,177689,ja
Q77971394,Erin Doherty,177520,de,en,es,fr
Q214223,Jason Isaacs,176556,de,en
Q180942,Shia LaBeouf,176533,de,en,es
Q178348,Chris Evans,176518,de,en,es,fr
Q28861547,Raphinha,176274,de,en,es,fr,ja
Q285450,Jon Jones,175778,de,en,es,fr
Q9036,Nikola Tesla,175581,de,en,es,fr
Q229184,Lily Collins,175520,de,en,es,fr
Q167635,Tyler, the Creator,175410,en
Q229507,Jayne Mansfield,175171,de,en,es,fr
Q172035,Colin Farrell,175024,de,en,es,fr
Q676094,Drew Barrymore,175021,de,en,es,ja
Q60894135,Donald J. Harris,174826,de,en,fr
Q7820162,Tomoko Namba,174334,ja
Q73346,Ralph Macchio,174316,de,en,es,fr
Q60772,Ursula von der Leyen,173271,de,en,es,fr,ja
Q134895,Javier Bardem,172837,de,en,es,fr
Q2926942,Bruno Retailleau,172733,fr
Q7742,Louis XIV of France,172508,de,es,fr,ja
Q438465,Michel Barnier,172243,de,en,es,fr
Q16843706,Gigi Hadid,172176,de,en,es,fr,ja
Q138005,Michael Keaton,171976,de,en,es,fr
Q99263775,Sree Leela,171363,en
Q43963,Jack the Ripper,170682,de,en,es,fr
Q26932598,Achraf Hakimi,170294,de,en,es,fr
Q314670,Simone Inzaghi,169675,de,en,es,fr,ja
Q114341246,Ibrahim Traoré,169447,de,en,es,fr
Q6182718,Jerome Powell,169219,de,en,es,fr,ja
Q61965546,Heidi Reichinnek,168527,de
Q230278,Jennifer Coolidge,168248,de,en,es,fr
Q125106,Salma Hayek,167731,de,en,es,fr
Q4492815,Chrystia Freeland,167569,en,fr
Q112170256,Désiré Doué,167409,en,es,fr
Q284636,Jason Bateman,167262,de,en,es,fr
Q2918762,Paddy Mayne,166895,en,fr
Q2434360,Tim Walz,166385,de,en,fr
Q8446,Kurt Cobain,166016,de,en,es,fr
Q11410046,Nanoka Hara,165825,ja
Q106298476,Caitlin Clark,165636,en
Q54314,Chris Hemsworth,165260,de,en,es,fr
