qid,enTitle,pageviews_30d_en,sitelinks
Q128567830,Sophie_Rain,44776,6
Q5936662,Huma_Qureshi,44661,37
Q3086795,Fred_Berry,44636,7
Q133653,Lara_Logan,44591,19
Q115805042,Thomas_Skinner_(businessman),44308,1
Q351479,Tim_Daly,44280,27
Q121863369,Isaiah_Bond,44226,1
Q43989,Grigori_Rasputin,44047,94
Q7374,Alfred_Hitchcock,43971,146
Q26704703,Federico_Chiesa,43850,56
Q110874376,Milos_Kerkez,43685,35
Q389438,John_Daly_(golfer),43625,18
Q4014532,Beto_O'Rourke,43623,32
Q600,Ichiro_Suzuki,43404,52
Q120406,Riki_Lindhome,43065,27
Q227129,Zoë_Kravitz,43059,50
Q298252,John_Wayne_Gacy,42988,43
Q107362893,Kieron_Bowie,42769,4
Q28493,Ralph_Fiennes,42686,68
Q666001,Terry_Reid,42685,18
Q54812588,Jannik_Sinner,42596,57
Q336074,Christopher_Guest,42296,24
Q55080956,Anna_Delvey,42147,29
Q21281937,Storm_Keating,42051,3
Q5687453,Haywood_Nelson,41985,4
Q231182,Kelly_Osbourne,41652,35
Q150268,David_de_Gea,41022,77
Q13469562,Thomas_Frank_(football_manager),40942,28
Q7498763,Shirley_Hemphill,40918,5
Q43302090,Candace_Owens,40801,33
Q94699949,Florian_Wirtz,40785,51
Q9673,Lewis_Hamilton,40685,93
Q28059260,Dean_Henderson,40679,40
Q236755,Heather_Matarazzo,40607,25
Q318591,J._Paul_Getty,40379,48
Q58132,Nicolás_Maduro,40212,100
Q170574,Helen_Hunt,39954,71
Q34389,Whitney_Houston,39950,123
Q220556,Brock_Lesnar,39922,54
Q21070448,Eritha,39891,7
Q39500352,Tijjani_Reijnders,39876,37
Q311256,Richard_Marx,39583,38
Q189400,Brooke_Shields,39520,66
Q167696,Nicole_Scherzinger,39381,68
Q5240137,David_Stratton,39010,2
Q115332579,Estêvão_Willian,38853,25
Q273044,Keke_Palmer,38617,46
Q205707,Bradley_Cooper,38462,131
Q135651610,Kelley_Mack,38378,11
Q240089,Karen_Mulder,38356,25
Q167635,Tyler,_the_Creator,38328,47
Q295233,John_Leguizamo,38217,67
Q36153,Beyoncé,38105,151
Q6397147,Kevin_O'Leary,38031,14
Q200499,Zia-ul-Haq,37869,66
Q2646553,N._T._Rama_Rao,37698,30
Q147077,Emma_Stone,37345,99
